,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Severo-Kurilsk,88,RU,1566591911,91,50.68,156.12,48.49,0.67
1,Ust-Maya,99,RU,1566591911,90,60.42,134.54,56.05,2.24
2,Buala,97,SB,1566591912,80,-8.15,159.59,79.63,8.23
3,San Felipe,100,CL,1566591912,46,-32.75,-70.73,67.21,5.35
4,Bredasdorp,0,ZA,1566591832,93,-34.53,20.04,51.8,6.93
5,Vaini,100,IN,1566591841,90,15.34,74.49,76.57,1.48
6,Hobart,20,AU,1566591709,61,-42.88,147.33,51.01,11.41
7,Qaanaaq,100,GL,1566591843,65,77.48,-69.36,36.79,19.01
8,Cabo San Lucas,90,MX,1566591808,78,22.89,-109.91,82.0,11.41
9,Albany,75,US,1566591692,47,42.65,-73.75,77.0,4.7
10,Kapaa,40,US,1566591845,62,22.08,-159.32,87.8,8.05
11,Neuquen,0,AR,1566591913,44,-38.95,-68.06,57.2,2.24
12,Rikitea,100,PF,1566591828,67,-23.12,-134.97,70.99,16.08
13,Komsomolskiy,100,RU,1566591859,92,67.55,63.78,49.39,7.16
14,Myanaung,100,MM,1566591914,93,18.28,95.32,75.13,1.61
15,Mount Darwin,0,ZW,1566591914,56,-16.77,31.58,51.73,2.91
16,Bundaberg,0,AU,1566591915,87,-24.87,152.35,53.6,8.05
17,Vardo,75,US,1566591770,82,39.62,-77.74,66.99,4.7
18,Vao,100,EE,1566591824,95,59.1,26.19,60.19,11.79
19,Tura,36,RU,1566591881,79,64.27,100.22,48.67,3.6
20,Cape Town,0,ZA,1566591847,87,-33.93,18.42,64.99,2.24
21,La Virginia,20,CO,1566591619,58,4.9,-75.88,87.8,5.82
22,New Norfolk,20,AU,1566591755,61,-42.78,147.06,51.01,11.41
23,Cherskiy,8,RU,1566591916,44,68.75,161.3,58.03,6.15
24,Tautira,20,PF,1566591916,65,-17.73,-149.15,80.6,5.82
25,Ribas do Rio Pardo,0,BR,1566591916,35,-20.45,-53.76,82.15,8.52
26,Kisanga,93,CD,1566591917,49,-11.72,27.4,54.79,5.21
27,Lebu,75,ET,1566591704,87,8.96,38.73,59.0,2.24
28,Khatanga,64,RU,1566591769,62,71.98,102.47,55.33,6.89
29,Pangnirtung,75,CA,1566591874,93,66.15,-65.72,44.6,18.34
30,Punta Arenas,90,CL,1566591832,87,-53.16,-70.91,42.8,14.99
31,Ostrovnoy,49,RU,1566591918,95,68.05,39.51,40.21,0.49
32,Santa Rosa,100,AR,1566591918,45,-36.62,-64.29,65.23,11.36
33,Presidente Dutra,9,BR,1566591918,39,-11.3,-41.99,76.21,12.55
34,Douentza,100,ML,1566591918,74,15.01,-2.95,78.19,7.54
35,Yellowknife,75,CA,1566591823,66,62.45,-114.38,55.4,19.46
36,Arraial do Cabo,40,BR,1566591840,72,-22.97,-42.02,68.0,11.41
37,Stephenville Crossing,90,CA,1566591919,88,48.5,-58.44,69.01,20.8
38,Kupang,30,ID,1566591919,83,-10.16,123.6,73.4,4.7
39,Hirara,33,JP,1566591920,81,24.8,125.28,84.49,28.34
40,Vila,0,IT,1566591920,78,45.18,8.4,77.0,4.7
41,Verkhoyansk,91,RU,1566591920,72,67.55,133.39,59.11,2.77
42,Les Cayes,0,HT,1566591920,76,18.19,-73.75,83.59,15.08
43,Port Alfred,0,ZA,1566591844,92,-33.59,26.89,57.99,5.01
44,Jamestown,0,AU,1566591804,42,-33.21,138.6,49.75,11.41
45,Sao Joao da Barra,90,BR,1566591921,82,-21.64,-41.05,68.0,11.41
46,Mataura,95,NZ,1566591845,87,-46.19,168.86,41.0,7.0
47,Selma,99,US,1566591922,44,32.41,-87.02,95.0,4.14
48,Katsuura,75,JP,1566591853,94,33.93,134.5,75.2,3.36
49,Chiredzi,0,ZW,1566591922,52,-21.05,31.67,61.81,2.8
50,Lufilufi,3,WS,1566591923,75,-13.87,-171.6,82.15,21.36
51,Uthal,15,PK,1566591923,78,25.81,66.62,80.35,7.74
52,Bethel,90,US,1566591540,100,60.79,-161.76,57.2,4.7
53,Aklavik,75,CA,1566591870,61,68.22,-135.01,50.0,3.36
54,Rundu,0,NA,1566591825,20,-17.91,19.77,66.2,3.36
55,Busselton,9,AU,1566591828,72,-33.64,115.35,37.0,12.41
56,Mount Gambier,52,AU,1566591924,76,-37.83,140.78,48.2,14.99
57,Hualmay,0,PE,1566591879,90,-11.1,-77.61,59.29,10.83
58,Narsaq,16,GL,1566591925,72,60.91,-46.05,51.8,8.05
59,Torbay,75,CA,1566591763,78,47.66,-52.73,78.01,8.05
60,Bluff,0,AU,1566591823,85,-23.58,149.07,54.61,9.28
61,Palana,99,RU,1566591926,92,59.08,159.95,51.37,6.91
62,Tsumeb,0,NA,1566591926,17,-19.25,17.72,58.39,11.9
63,Sobolevo,1,RU,1566591926,83,54.43,31.9,54.07,1.54
64,Hermanus,0,ZA,1566591744,95,-34.42,19.24,64.99,5.82
65,Amalapuram,67,IN,1566591927,84,16.58,82.0,76.93,8.9
66,Benguela,90,AO,1566591842,94,-12.58,13.4,69.8,8.01
67,La Ronge,75,CA,1566591927,59,55.1,-105.3,64.4,6.93
68,Avera,40,US,1566591928,47,33.19,-82.53,96.01,4.7
69,Jalgaon,90,IN,1566591928,84,21.0,75.57,75.13,7.2
70,Iqaluit,75,CA,1566591928,75,63.75,-68.52,46.4,3.36
71,Kerikeri,7,NZ,1566591928,94,-35.23,173.95,48.0,7.0
72,Ushuaia,75,AR,1566591837,70,-54.81,-68.31,42.8,2.24
73,Ancud,90,CL,1566591929,100,-41.87,-73.83,50.0,13.87
74,Haapiti,20,PF,1566591929,65,-17.57,-149.87,80.6,5.82
75,Pevek,79,RU,1566591930,82,69.7,170.27,40.57,2.68
76,Longyearbyen,75,NO,1566591930,73,78.22,15.63,39.2,6.93
77,East London,1,ZA,1566591873,94,-33.02,27.91,56.95,6.82
78,Tayshet,100,RU,1566591930,92,55.94,98.01,54.97,9.62
79,Port-Gentil,90,GA,1566591931,88,-0.72,8.78,77.0,8.05
80,Nkowakowa,0,ZA,1566591931,22,-23.89,30.29,53.6,9.17
81,Souillac,0,FR,1566591833,32,45.6,-0.6,82.4,5.82
82,Cabedelo,0,BR,1566591931,74,-6.97,-34.84,78.8,10.29
83,Praia da Vitoria,75,PT,1566591912,94,38.73,-27.07,71.6,15.73
84,Castro,90,CL,1566591850,100,-42.48,-73.76,50.0,13.87
85,Isangel,75,VU,1566591932,60,-19.55,169.27,71.6,14.99
86,Tuktoyaktuk,90,CA,1566591775,87,69.44,-133.03,44.6,11.41
87,Kizilskoye,100,RU,1566591932,91,52.73,58.89,59.65,3.87
88,Mahebourg,40,MU,1566591840,88,-20.41,57.7,68.0,3.36
89,Broome,0,GB,1566591933,77,52.47,1.45,69.8,5.82
90,Buzdyak,49,RU,1566591933,90,54.57,54.53,54.79,4.25
91,Abha,40,SA,1566591933,68,18.22,42.5,75.2,8.05
92,Saint-Philippe,90,CA,1566591827,49,45.36,-73.48,73.99,10.2
93,Sao Filipe,100,CV,1566591934,74,14.9,-24.5,78.01,7.65
94,Ukiah,1,US,1566591716,33,39.15,-123.21,97.0,4.7
95,Mar del Plata,100,AR,1566591880,45,-46.43,-67.52,52.27,10.02
96,Astaneh-ye Ashrafiyeh,0,IR,1566591843,94,37.26,49.94,73.4,1.43
97,Bose,20,IT,1566591935,73,45.46,8.01,73.99,3.36
98,Wuwei,95,CN,1566591935,66,37.93,102.64,69.01,2.89
99,Barrow,100,AR,1566591868,55,-38.31,-60.23,57.31,6.64
100,Paungde,100,MM,1566591936,96,18.49,95.51,75.85,7.07
101,Lixourion,0,GR,1566591936,51,38.2,20.43,84.2,11.41
102,Amos,75,CA,1566591936,63,48.57,-78.12,63.0,13.87
103,Puerto Ayora,20,EC,1566591830,61,-0.74,-90.35,78.8,11.41
104,Clyde River,75,CA,1566591828,76,70.47,-68.59,51.8,16.11
105,Guerrero Negro,0,MX,1566591861,83,27.97,-114.04,70.09,9.35
106,Dire,75,ET,1566591937,87,9.18,38.92,59.0,2.24
107,Grindavik,75,IS,1566591779,81,63.84,-22.43,53.6,6.93
108,Ratnagiri,80,IN,1566591937,82,16.98,73.3,81.07,9.04
109,Laguna,20,BZ,1566591938,66,16.17,-88.94,91.4,9.17
110,Nikolskoye,90,RU,1566591938,87,59.7,30.79,60.01,8.95
111,Namibe,86,AO,1566591938,88,-15.19,12.15,67.39,4.07
112,Kralendijk,75,BQ,1566591864,62,12.15,-68.27,89.6,17.22
113,Auki,90,NG,1566591854,88,12.18,6.51,74.05,8.61
114,Ribeira Grande,40,PT,1566591787,78,38.52,-28.7,73.4,17.22
115,Yining,0,CN,1566591939,87,29.04,114.56,72.25,1.3
116,Adrar,85,DZ,1566591818,11,27.87,-0.29,107.6,9.17
117,Gaoyou,0,CN,1566591940,70,32.79,119.43,70.45,4.41
118,Nenjiang,27,CN,1566591940,97,49.17,125.23,54.07,2.3
119,Coquimbo,75,CL,1566591847,82,-29.95,-71.34,55.4,11.41
120,Cap Malheureux,40,MU,1566591941,88,-19.98,57.61,68.0,3.36
121,Kirakira,100,SB,1566591941,89,-10.46,161.92,78.01,14.47
122,Victoria,75,BN,1566591941,88,5.28,115.24,78.8,7.87
123,Kahului,40,US,1566591891,66,20.89,-156.47,86.0,21.92
124,Mari,0,BR,1566591942,74,-7.06,-35.32,78.8,10.29
125,Mbalmayo,75,CM,1566591942,88,3.52,11.5,71.6,8.05
126,Batagay,54,RU,1566591771,75,67.65,134.64,57.85,2.15
127,San Cristobal,0,HN,1566591842,28,14.68,-86.92,88.45,10.51
128,Halifax,75,CA,1566591762,41,44.65,-63.58,80.01,10.29
129,Chokurdakh,38,RU,1566591891,60,70.62,147.9,53.53,3.89
130,Sheridan,75,US,1566591943,25,39.65,-105.03,89.01,16.11
131,Mananjary,68,MG,1566591871,73,-19.16,46.8,62.89,1.43
132,Carnarvon,0,ZA,1566591871,23,-30.97,22.13,61.45,8.48
133,Gizo,0,IL,1566591944,78,31.8,34.94,82.99,3.36
134,Port Elizabeth,90,US,1566591825,93,39.31,-74.98,69.01,6.93
